Z_Depth_m,BBox_Area_px2
1.0651,36541.57
1.0613,32384.1
1.0714,34023.66
1.0844,31807.61
1.1159,32779.22
1.1586,28233.88
1.1889,28642.13
1.2122,25957.48
1.2367,26974.09
1.2496,25439.66
1.258,24778.54
1.2568,25033.37
1.2342,24657.56
1.1979,27310.77
1.1561,29196.82
1.118,32313.78
1.0908,27367.1
1.0812,32020.62
1.08,31377.76
1.0849,36040.73
1.0909,30724.53
1.117,30428.08
1.1446,27074.47
1.1681,26294.62
1.1878,25738.51
1.2073,25229.84
1.2154,24398.55
1.2123,26037.41
1.1995,26250.72
1.1944,25604.64
1.1876,26010.19
1.1714,26661.19
1.1497,29058.95
1.1219,31045.57
1.1117,30006.06
1.1128,32040.75
1.1189,31344.93
1.1287,27549.37
1.1417,26270.73
1.1578,29537.41
1.1729,28156.64
1.19,27364.22
1.2055,24096.85
1.2131,21744.02
1.2066,24498.33
1.1741,26481.36
1.1276,30461.62
1.0842,28747.54
1.0639,30998.61
1.0588,35981.83
1.0586,32382.46
1.0708,34513.83
1.0992,34556.71
1.1422,27818.48
1.1953,28706.62
1.2334,25246.33
1.2599,23681.65
1.2807,23134.35
1.2759,23264.7
1.253,24659.55
1.223,25658.72
1.189,27685.09
1.1468,29145.3
1.1095,31279.47
1.0714,34191.31
1.0518,33299.66
1.0514,36252.67
1.0554,34592.92
1.0864,33364.28
1.1455,30163.81
1.1931,28422.2
1.2271,23798.95
1.2583,22534.14
1.2685,22086.27
1.2458,23038.95
1.1998,25247.81
1.1421,27928.92
1.0815,30498.35
1.0373,33273.99
1.0128,38280.99
0.9988,39053.39
1.0047,39678.01
1.0486,34563.12
1.1052,33143.64
1.1482,29972.2
1.1815,27342.01
1.2106,25750.82
1.2384,24707.57
1.2508,23678.17
1.2399,25345.76
1.207,25305.99
1.1719,25079.57
1.142,27612.43
